,fraud_count,legit_count,fraud_ratio,total_count
milling,3,12,0.23076923076923078,15
expediting,3,12,0.23076923076923078,15
trains,6,25,0.23076923076923078,31
positions,192,834,0.22994011976047904,1026
strengthen,20,86,0.22988505747126436,106
label,8,34,0.22857142857142856,42
dependable,10,43,0.22727272727272727,53
composed,5,21,0.22727272727272727,26
tagging,5,21,0.22727272727272727,26
relish,5,21,0.22727272727272727,26
grand,5,21,0.22727272727272727,26
hazards,5,21,0.22727272727272727,26
lake,12,52,0.22641509433962265,64
span,7,30,0.22580645161290322,37
uae,16,70,0.22535211267605634,86
recruiters,22,97,0.22448979591836735,119
overseas,15,66,0.22388059701492538,81
bid,21,93,0.22340425531914893,114
measurements,8,35,0.2222222222222222,43
shutdown,4,17,0.2222222222222222,21
addressed,6,26,0.2222222222222222,32
tooling,27,121,0.22131147540983606,148
planned,19,85,0.22093023255813954,104
sit,17,76,0.22077922077922077,93
datasets,7,31,0.21875,38
enhancement,12,54,0.21818181818181817,66
provider,92,421,0.21800947867298578,513
minimize,15,68,0.21739130434782608,83
ensures,50,229,0.21739130434782608,279
enters,5,22,0.21739130434782608,27
shifts,43,197,0.21717171717171718,240
equipment,320,1478,0.21636240703177823,1798
desirable,23,106,0.21495327102803738,129
prints,9,41,0.21428571428571427,50
mastering,3,13,0.21428571428571427,16
cashier,3,13,0.21428571428571427,16
permissions,3,13,0.21428571428571427,16
prescribed,9,41,0.21428571428571427,50
ppe,3,13,0.21428571428571427,16
bankruptcy,6,27,0.21428571428571427,33
emr,3,13,0.21428571428571427,16
below,59,275,0.213768115942029,334
compassion,10,46,0.2127659574468085,56
mails,7,32,0.21212121212121213,39
nursing,50,235,0.211864406779661,285
bound,4,18,0.21052631578947367,22
sustain,8,37,0.21052631578947367,45
url,4,18,0.21052631578947367,22
observations,8,37,0.21052631578947367,45
indiana,4,18,0.21052631578947367,22
initiates,4,18,0.21052631578947367,22
connected,21,99,0.21,120
technician,97,461,0.20995670995670995,558
instrument,9,42,0.20930232558139536,51
supervision,73,349,0.20857142857142857,422
duty,30,143,0.20833333333333334,173
eventually,6,28,0.20689655172413793,34
executes,6,28,0.20689655172413793,34
quickbooks,6,28,0.20689655172413793,34
nothing,14,67,0.20588235294117646,81
edi,7,33,0.20588235294117646,40
minimal,38,184,0.20540540540540542,222
visa,23,111,0.20535714285714285,134
fields,28,136,0.20437956204379562,164
income,50,245,0.2032520325203252,295
secures,14,68,0.2028985507246377,82
contractors,44,216,0.20276497695852536,260
money,121,596,0.20268006700167504,717
ssrs,4,19,0.2,23
protects,4,19,0.2,23
reimbursement,4,19,0.2,23
factory,11,54,0.2,65
subsequent,6,29,0.2,35
interprets,3,14,0.2,17
securing,11,54,0.2,65
credible,7,34,0.2,41
preservation,7,34,0.2,41
arizona,3,14,0.2,17
dozens,7,34,0.2,41
pipelines,5,24,0.2,29
wiring,6,29,0.2,35
upfront,3,14,0.2,17
handover,3,14,0.2,17
discussing,6,29,0.2,35
expenditure,5,24,0.2,29
terminals,3,14,0.2,17
tailor,12,60,0.19672131147540983,72
workshop,10,50,0.19607843137254902,60
diploma,29,147,0.19594594594594594,176
electric,9,45,0.1956521739130435,54
discrepancies,9,45,0.1956521739130435,54
micro,8,40,0.1951219512195122,48
financing,22,112,0.19469026548672566,134
leaving,7,35,0.19444444444444445,42
coordinated,6,30,0.1935483870967742,36
mechanic,6,30,0.1935483870967742,36
switches,6,30,0.1935483870967742,36
bulletins,5,25,0.19230769230769232,30
element,5,25,0.19230769230769232,30
measures,12,62,0.19047619047619047,74
reconciling,4,20,0.19047619047619047,24
grounds,4,20,0.19047619047619047,24
phones,29,152,0.1895424836601307,181
injection,7,36,0.1891891891891892,43
las,7,36,0.1891891891891892,43
alliance,7,36,0.1891891891891892,43
wanting,21,110,0.1891891891891892,131
outlook,17,89,0.18888888888888888,106
undertake,17,89,0.18888888888888888,106
bed,10,52,0.18867924528301888,62
smb,3,15,0.1875,18
emergencies,3,15,0.1875,18
fluids,3,15,0.1875,18
processor,6,31,0.1875,37
bonuses,32,170,0.1871345029239766,202
affairs,10,53,0.18518518518518517,63
inspect,10,53,0.18518518518518517,63
scopes,5,26,0.18518518518518517,31
forming,5,26,0.18518518518518517,31
sorts,5,26,0.18518518518518517,31
eliminate,5,26,0.18518518518518517,31
hotel,57,308,0.18446601941747573,365
soft,7,37,0.18421052631578946,44
thank,18,97,0.1836734693877551,115
verify,27,146,0.1836734693877551,173
wanted,31,169,0.18235294117647058,200
higher,33,180,0.18232044198895028,213
instant,8,43,0.18181818181818182,51
predictable,4,21,0.18181818181818182,25
accreditation,4,21,0.18181818181818182,25
subjects,4,21,0.18181818181818182,25
demeanor,12,65,0.18181818181818182,77
yield,4,21,0.18181818181818182,25
forum,4,21,0.18181818181818182,25
termination,6,32,0.18181818181818182,38
disposition,4,21,0.18181818181818182,25
performs,57,313,0.18152866242038215,370
man,13,71,0.18055555555555555,84
estimate,13,71,0.18055555555555555,84
agreements,23,127,0.1796875,150
labor,26,144,0.1793103448275862,170
root,12,66,0.1791044776119403,78
colorado,5,27,0.17857142857142858,32
surveillance,5,27,0.17857142857142858,32
filling,10,55,0.17857142857142858,65
tidy,5,27,0.17857142857142858,32
detailing,5,27,0.17857142857142858,32
schedules,65,367,0.1766304347826087,432
caduration,3,16,0.17647058823529413,19
hesitate,3,16,0.17647058823529413,19
observing,3,16,0.17647058823529413,19
corners,3,16,0.17647058823529413,19
saving,12,67,0.17647058823529413,79
tie,3,16,0.17647058823529413,19
completed,39,220,0.17647058823529413,259
amet,3,16,0.17647058823529413,19
unexpected,3,16,0.17647058823529413,19
surface,6,33,0.17647058823529413,39
installs,9,50,0.17647058823529413,59
hence,3,16,0.17647058823529413,19
hospitality,25,141,0.176056338028169,166
intermediate,10,56,0.17543859649122806,66
weekend,24,136,0.17518248175182483,160
powers,7,39,0.175,46
accident,7,39,0.175,46
showing,11,62,0.1746031746031746,73
nurses,22,125,0.1746031746031746,147
structural,11,62,0.1746031746031746,73
imagine,15,85,0.1744186046511628,100
follows,23,131,0.17424242424242425,154
staffing,58,332,0.17417417417417416,390
debit,4,22,0.17391304347826086,26
briefings,4,22,0.17391304347826086,26
gate,4,22,0.17391304347826086,26
electricity,8,45,0.17391304347826086,53
acts,12,68,0.17391304347826086,80
nec,4,22,0.17391304347826086,26
peripheral,4,22,0.17391304347826086,26
electrical,92,530,0.17325800376647835,622
defines,5,28,0.1724137931034483,33
onto,15,86,0.1724137931034483,101
reward,10,57,0.1724137931034483,67
plants,7,40,0.17073170731707318,47
tape,7,40,0.17073170731707318,47
powerpoint,15,87,0.17045454545454544,102
completes,8,46,0.1702127659574468,54
keyboard,9,52,0.16981132075471697,61
interior,11,64,0.16923076923076924,75
word,59,348,0.16905444126074498,407
cleanliness,12,70,0.16901408450704225,82
homes,51,301,0.16887417218543047,352
engineering,391,2326,0.16802750322303395,2717
insuring,3,17,0.16666666666666666,20
secretary,4,23,0.16666666666666666,27
directions,9,53,0.16666666666666666,62
lean,36,215,0.16666666666666666,251
copying,3,17,0.16666666666666666,20
mca,4,23,0.16666666666666666,27
telemarketing,4,23,0.16666666666666666,27
manuals,14,83,0.16666666666666666,97
participant,7,41,0.16666666666666666,48
variable,4,23,0.16666666666666666,27
lightweight,5,29,0.16666666666666666,34
rfps,4,23,0.16666666666666666,27
diagnosing,4,23,0.16666666666666666,27
encouraged,17,102,0.1650485436893204,119
claims,17,102,0.1650485436893204,119
associates,49,299,0.16333333333333333,348
serious,16,97,0.16326530612244897,113
controls,68,416,0.1630695443645084,484
desire,56,343,0.16279069767441862,399
prices,13,79,0.1625,92
reasons,6,36,0.16216216216216217,42
pay,115,710,0.1617440225035162,825
mechanical,67,414,0.1614457831325301,481
guaranteed,10,61,0.16129032258064516,71
fees,17,105,0.16037735849056603,122
properties,20,124,0.16,144
reputable,4,24,0.16,28
dna,4,24,0.16,28
revisions,4,24,0.16,28
matches,4,24,0.16,28
countries,69,431,0.1597222222222222,500
vegas,7,43,0.1590909090909091,50
directs,10,62,0.15873015873015872,72
civil,13,81,0.15853658536585366,94
admin,84,529,0.15849056603773584,613
maximum,29,182,0.15846994535519127,211
wholesale,6,37,0.15789473684210525,43
rotating,6,37,0.15789473684210525,43
closure,6,37,0.15789473684210525,43
accomplishment,3,18,0.15789473684210525,21
suitably,3,18,0.15789473684210525,21
iteratively,3,18,0.15789473684210525,21
tolerance,3,18,0.15789473684210525,21
subcontractor,3,18,0.15789473684210525,21
labeling,3,18,0.15789473684210525,21
instructed,3,18,0.15789473684210525,21
promptly,11,69,0.15714285714285714,80
facilities,50,319,0.15625,369
memory,5,31,0.15625,36
hour,58,371,0.15591397849462366,429
telecom,12,76,0.15584415584415584,88
incumbent,7,44,0.15555555555555556,51
light,25,160,0.15527950310559005,185
laptop,9,57,0.15517241379310345,66
suggestions,11,70,0.15492957746478872,81
introduction,11,70,0.15492957746478872,81
steady,6,38,0.15384615384615385,44
bottom,16,103,0.15384615384615385,119
instruments,6,38,0.15384615384615385,44
milestone,4,25,0.15384615384615385,29
gateway,6,38,0.15384615384615385,44
quoting,6,38,0.15384615384615385,44
gear,4,25,0.15384615384615385,29
per,236,1537,0.15344603381014305,1773
predictive,19,123,0.1532258064516129,142
personnel,83,541,0.15313653136531366,624
drop,15,97,0.15306122448979592,112
suitable,24,156,0.15286624203821655,180
routine,24,156,0.15286624203821655,180
remotely,22,143,0.1527777777777778,165
sheets,11,71,0.1527777777777778,82
hospital,38,248,0.15261044176706828,286
layout,18,117,0.15254237288135594,135
regards,9,58,0.15254237288135594,67
relies,7,45,0.15217391304347827,52
tax,49,321,0.15217391304347827,370
advantage,31,203,0.15196078431372548,234
retain,12,78,0.1518987341772152,90
assures,5,32,0.15151515151515152,37
audit,35,230,0.15151515151515152,265
luxury,70,462,0.1511879049676026,532
home,272,1799,0.1511111111111111,2071
entering,14,92,0.15053763440860216,106
values,88,584,0.15042735042735042,672
mitigation,6,39,0.15,45
departmental,15,99,0.15,114
assists,39,259,0.15,298
protect,9,59,0.15,68
quick,36,239,0.15,275
competencies,9,59,0.15,68
aligning,3,19,0.15,22
receivables,6,39,0.15,45
notifying,3,19,0.15,22
philosophy,10,66,0.14925373134328357,76
input,55,368,0.14905149051490515,423
rapport,14,93,0.14893617021276595,107
packs,4,26,0.14814814814814814,30
remaining,4,26,0.14814814814814814,30
minnesota,4,26,0.14814814814814814,30
superintendent,4,26,0.14814814814814814,30
holder,8,53,0.14814814814814814,61
injuries,4,26,0.14814814814814814,30
receivable,12,80,0.14814814814814814,92
authorities,4,26,0.14814814814814814,30
american,42,284,0.14736842105263157,326
legislation,5,33,0.14705882352941177,38
field,185,1260,0.14670896114195084,1445
faxing,6,40,0.14634146341463414,46
spare,6,40,0.14634146341463414,46
ledger,12,81,0.14634146341463414,93
aid,18,122,0.14634146341463414,140
reconcile,6,40,0.14634146341463414,46
applicable,40,273,0.145985401459854,313
maintained,15,102,0.14563106796116504,117
technicians,23,157,0.14556962025316456,180
shooting,8,54,0.14545454545454545,62
repair,36,247,0.14516129032258066,283
maintenance,217,1498,0.1447631754503002,1715
defects,12,82,0.14457831325301204,94
format,16,110,0.14414414414414414,126
accordance,49,340,0.1436950146627566,389
validity,3,20,0.14285714285714285,23
article,3,20,0.14285714285714285,23
manually,3,20,0.14285714285714285,23
letters,16,111,0.14285714285714285,127
engineerlocation,3,20,0.14285714285714285,23
mountain,4,27,0.14285714285714285,31
cap,3,20,0.14285714285714285,23
mining,9,62,0.14285714285714285,71
bookkeeper,7,48,0.14285714285714285,55
deserve,4,27,0.14285714285714285,31
algorithmic,4,27,0.14285714285714285,31
ethernet,5,34,0.14285714285714285,39
cleaning,42,293,0.14285714285714285,335
persuade,3,20,0.14285714285714285,23
impossible,5,34,0.14285714285714285,39
explains,3,20,0.14285714285714285,23
dcs,4,27,0.14285714285714285,31
approval,21,147,0.14189189189189189,168
pick,32,226,0.14096916299559473,258
investigations,9,63,0.140625,72
externally,9,63,0.140625,72
corporate,135,960,0.1404786680541103,1095
down,33,234,0.14042553191489363,267
demonstrators,7,49,0.14,56
preparation,61,435,0.13990825688073394,496
demonstrable,6,42,0.13953488372093023,48
debug,6,42,0.13953488372093023,48
reasonable,11,78,0.13924050632911392,89
climate,10,71,0.1388888888888889,81
comprised,5,35,0.1388888888888889,40
profits,9,64,0.13846153846153847,73
conjunction,17,122,0.13821138211382114,139
monitors,21,151,0.13815789473684212,172
deficiencies,4,28,0.13793103448275862,32
firmware,7,50,0.13725490196078433,57
greet,10,72,0.136986301369863,82
protection,16,116,0.13675213675213677,132
remove,6,43,0.13636363636363635,49
shipped,3,21,0.13636363636363635,24
stewarding,3,21,0.13636363636363635,24
scanner,3,21,0.13636363636363635,24
foot,3,21,0.13636363636363635,24
motor,21,153,0.13636363636363635,174
contracts,45,329,0.13636363636363635,374
answering,43,316,0.13564668769716087,359
fortune,29,213,0.13551401869158877,242
directing,13,95,0.13541666666666666,108
asap,13,95,0.13541666666666666,108
responsibilitiesthe,5,36,0.13513513513513514,41
billing,42,310,0.13504823151125403,352
urgent,42,310,0.13504823151125403,352
diagrams,12,88,0.1348314606741573,100
require,66,489,0.1346938775510204,555
reception,14,103,0.1346153846153846,117
respective,7,51,0.1346153846153846,58
drawings,30,222,0.13452914798206278,252
investigation,9,66,0.13432835820895522,75
oversees,9,66,0.13432835820895522,75
safe,61,454,0.13406593406593406,515
send,68,507,0.13385826771653545,575
coordinates,24,179,0.13333333333333333,203
footprint,4,29,0.13333333333333333,33
investigate,10,74,0.13333333333333333,84
cooperation,18,134,0.13333333333333333,152
allen,4,29,0.13333333333333333,33
method,8,59,0.13333333333333333,67
allocated,4,29,0.13333333333333333,33
trainer,6,44,0.13333333333333333,50
ssis,4,29,0.13333333333333333,33
easily,21,157,0.13291139240506328,178
assistant,174,1309,0.13282442748091602,1483
construction,73,551,0.1322463768115942,624
licensed,17,128,0.13178294573643412,145
mutually,5,37,0.13157894736842105,42
typically,14,106,0.1308411214953271,120
spokesperson,3,22,0.13043478260869565,25
containers,3,22,0.13043478260869565,25
stats,3,22,0.13043478260869565,25
fuel,6,45,0.13043478260869565,51
export,3,22,0.13043478260869565,25
though,16,122,0.13008130081300814,138
designated,15,115,0.12931034482758622,130
free,150,1161,0.12908777969018934,1311
unusual,4,30,0.12903225806451613,34
feed,4,30,0.12903225806451613,34
suites,4,30,0.12903225806451613,34
industrial,51,395,0.12878787878787878,446
fellowship,5,38,0.1282051282051282,43
admission,5,38,0.1282051282051282,43
tdd,5,38,0.1282051282051282,43
addresses,6,46,0.1276595744680851,52
address,44,344,0.12753623188405797,388
deposits,7,54,0.12727272727272726,61
supervise,21,164,0.12727272727272726,185
honest,24,188,0.12698412698412698,212
adequate,9,70,0.1267605633802817,79
safely,19,149,0.12666666666666668,168
procurement,19,149,0.12666666666666668,168
optimisation,11,86,0.12643678160919541,97
computer,111,877,0.1264236902050114,988
weekends,23,181,0.12637362637362637,204
night,26,205,0.1262135922330097,231
repairs,27,213,0.1261682242990654,240
flow,42,332,0.12612612612612611,374
prepares,21,166,0.12574850299401197,187
establishes,11,87,0.125,98
visas,3,23,0.125,26
robust,22,175,0.125,197
multitasking,3,23,0.125,26
correspondence,20,159,0.125,179
tasker,3,23,0.125,26
officials,3,23,0.125,26
maryland,3,23,0.125,26
firewalls,6,47,0.125,53
reservations,9,71,0.125,80
thrives,6,47,0.125,53
superb,7,55,0.125,62
origin,4,31,0.125,35
relative,5,39,0.125,44
ten,7,55,0.125,62
yearly,10,79,0.125,89
auto,21,168,0.1242603550295858,189
here,101,812,0.12423124231242312,913
previous,39,313,0.12420382165605096,352
correct,31,249,0.124,280
costs,30,241,0.12396694214876033,271
select,25,201,0.12376237623762376,226
environmental,69,557,0.12365591397849462,626
recommends,11,88,0.12359550561797752,99
booking,22,177,0.12359550561797752,199
test,209,1697,0.12308598351001178,1906
insure,8,64,0.12307692307692308,72
diagnose,8,64,0.12307692307692308,72
combines,8,64,0.12307692307692308,72
answer,39,316,0.12302839116719243,355
fitness,7,56,0.12280701754385964,63
operation,63,513,0.122568093385214,576
pleasant,6,48,0.12244897959183673,54
relate,5,40,0.12195121951219512,45
picking,5,40,0.12195121951219512,45
performed,19,155,0.12179487179487179,174
started,14,114,0.12173913043478261,128
waste,22,180,0.12154696132596685,202
tag,4,32,0.12121212121212122,36
divisional,4,32,0.12121212121212122,36
submissions,4,32,0.12121212121212122,36
accomplishments,4,32,0.12121212121212122,36
attendance,16,131,0.12121212121212122,147
signal,4,32,0.12121212121212122,36
documents,106,875,0.12100456621004566,981
typical,14,115,0.1206896551724138,129
align,14,115,0.1206896551724138,129
suppliers,31,256,0.12062256809338522,287
requested,24,198,0.12060301507537688,222
liaise,16,132,0.12030075187969924,148
anticipating,3,24,0.12,27
delegating,3,24,0.12,27
regulation,3,24,0.12,27
intuition,3,24,0.12,27
cognos,3,24,0.12,27
advocates,3,24,0.12,27
desk,37,308,0.11974110032362459,345
added,14,116,0.11965811965811966,130
several,44,367,0.11956521739130435,411
cases,46,384,0.11948051948051948,430
approved,16,133,0.11940298507462686,149
study,16,133,0.11940298507462686,149
developments,18,150,0.11920529801324503,168
commitment,38,318,0.11912225705329153,356
surrounding,5,41,0.11904761904761904,46
receipts,5,41,0.11904761904761904,46
ged,5,41,0.11904761904761904,46
accountant,26,218,0.1187214611872146,244
certain,7,58,0.11864406779661017,65
internally,20,168,0.11834319526627218,188
selection,26,219,0.11818181818181818,245
schedule,107,905,0.11810154525386314,1012
call,113,957,0.11795407098121086,1070
principles,29,245,0.11788617886178862,274
snacks,4,33,0.11764705882352941,37
annually,6,50,0.11764705882352941,56
handled,6,50,0.11764705882352941,56
ehs,8,67,0.11764705882352941,75
operator,24,204,0.11707317073170732,228
regulatory,44,375,0.11702127659574468,419
necessary,110,941,0.11677282377919321,1051
operators,14,119,0.11666666666666667,133
situations,17,145,0.11643835616438356,162
implications,5,42,0.11627906976744186,47
resolves,5,42,0.11627906976744186,47
roman,5,42,0.11627906976744186,47
failures,5,42,0.11627906976744186,47
board,67,576,0.11611785095320624,643
description,78,671,0.11607142857142858,749
extreme,8,68,0.11594202898550725,76
normal,19,163,0.11585365853658537,182
power,55,474,0.11578947368421053,529
safety,174,1502,0.1157684630738523,1676
identified,14,120,0.11570247933884298,134
accomplished,6,51,0.11538461538461539,57
comfortably,3,25,0.11538461538461539,28
documented,12,103,0.11538461538461539,115
mixture,3,25,0.11538461538461539,28
otherwise,3,25,0.11538461538461539,28
observe,3,25,0.11538461538461539,28
cooperatively,3,25,0.11538461538461539,28
claim,3,25,0.11538461538461539,28
defense,3,25,0.11538461538461539,28
begin,9,77,0.11538461538461539,86
control,128,1110,0.1152115211521152,1238
dyson,16,138,0.11510791366906475,154
verification,13,112,0.11504424778761062,125
broad,31,269,0.11481481481481481,300
initiate,14,121,0.11475409836065574,135
emergency,19,165,0.1144578313253012,184
holidays,27,235,0.11440677966101695,262
caliber,4,34,0.11428571428571428,38
schemes,4,34,0.11428571428571428,38
combined,12,104,0.11428571428571428,116
miscellaneous,4,34,0.11428571428571428,38
purchase,30,262,0.11406844106463879,292
split,9,78,0.11392405063291139,87
hours,161,1413,0.11386138613861387,1574
size,45,395,0.11363636363636363,440
biggest,27,237,0.1134453781512605,264
immediately,39,344,0.11304347826086956,383
iii,7,61,0.11290322580645161,68
identifies,16,141,0.11267605633802817,157
bar,10,88,0.11235955056179775,98
toward,10,88,0.11235955056179775,98
backup,14,124,0.112,138
amp,695,6216,0.11179025253337622,6911
internet,77,688,0.11175616835994194,765
challenges,71,637,0.11128526645768025,708
deliverable,3,26,0.1111111111111111,29
variance,3,26,0.1111111111111111,29
unless,3,26,0.1111111111111111,29
categories,6,53,0.1111111111111111,59
transmission,3,26,0.1111111111111111,29
concierge,3,26,0.1111111111111111,29
inspector,3,26,0.1111111111111111,29
fault,3,26,0.1111111111111111,29
okay,3,26,0.1111111111111111,29
helpful,15,134,0.1111111111111111,149
acting,8,71,0.1111111111111111,79
personable,10,89,0.1111111111111111,99
dishes,3,26,0.1111111111111111,29
sundays,3,26,0.1111111111111111,29
specifications,58,523,0.11068702290076336,581
equivalent,35,316,0.11041009463722397,351
practice,49,443,0.11036036036036036,492
needed,188,1705,0.11019929660023446,1893
execution,82,744,0.11006711409395974,826
replacing,11,99,0.11,110
fill,21,190,0.1099476439790576,211
bachelor,29,263,0.10984848484848485,292
standards,166,1511,0.10978835978835978,1677
investments,7,63,0.109375,70
minimum,66,603,0.10927152317880795,669
feasibility,6,54,0.10909090909090909,60
experiments,5,45,0.10869565217391304,50
aspect,10,91,0.10869565217391304,101
reduction,5,45,0.10869565217391304,50
devise,5,45,0.10869565217391304,50
studies,29,266,0.10861423220973783,295
contract,131,1210,0.10817506193228736,1341
resulting,4,36,0.10810810810810811,40
focussed,4,36,0.10810810810810811,40
acquisitions,4,36,0.10810810810810811,40
processing,81,749,0.108,830
opening,32,297,0.10738255033557047,329
coupled,3,27,0.10714285714285714,30
trials,3,27,0.10714285714285714,30
scope,44,410,0.1070559610705596,454
mindset,11,102,0.10679611650485436,113
units,16,149,0.10666666666666667,165
compliance,104,977,0.10633946830265849,1081
agents,24,225,0.10619469026548672,249
constraints,7,65,0.10606060606060606,72
rep,29,273,0.10583941605839416,302
immediate,41,387,0.1056701030927835,428
dns,4,37,0.10526315789473684,41
distribute,10,94,0.10526315789473684,104
copies,6,56,0.10526315789473684,62
facilitation,4,37,0.10526315789473684,41
impressions,4,37,0.10526315789473684,41
benefit,33,313,0.10509554140127389,346
comply,15,142,0.1048951048951049,157
improvement,85,810,0.10480887792848335,895
kingdom,7,66,0.1044776119402985,73
amongst,7,66,0.1044776119402985,73
whom,7,66,0.1044776119402985,73
advancement,24,229,0.10434782608695652,253
collateral,15,143,0.10416666666666667,158
communicated,5,47,0.10416666666666667,52
fixes,8,76,0.1038961038961039,84
cultural,11,105,0.10377358490566038,116
rooms,14,134,0.1037037037037037,148
stream,3,28,0.10344827586206896,31
efficiencies,6,57,0.10344827586206896,63
reducing,3,28,0.10344827586206896,31
procedures,171,1659,0.10301204819277109,1830
continuous,49,475,0.10294117647058823,524
salary,91,883,0.10294117647058823,974
orders,58,563,0.10283687943262411,621
communicates,11,106,0.102803738317757,117
sap,44,427,0.102803738317757,471
usa,23,223,0.10267857142857142,246
step,23,223,0.10267857142857142,246
periodically,4,38,0.10256410256410256,42
translators,4,38,0.10256410256410256,42
instructions,27,263,0.10227272727272728,290
estimating,9,87,0.10227272727272728,96
accomplishing,5,48,0.10204081632653061,53
codes,10,97,0.10204081632653061,107
eligibility,5,48,0.10204081632653061,53
realistic,5,48,0.10204081632653061,53
qualification,15,146,0.10204081632653061,161
wage,5,48,0.10204081632653061,53
modeling,21,205,0.10194174757281553,226
errors,16,156,0.10191082802547771,172
perform,213,2096,0.10157367668097282,2309
treat,7,68,0.10144927536231885,75
audits,17,167,0.10119047619047619,184
chemical,9,88,0.10112359550561797,97
hotels,9,88,0.10112359550561797,97
associated,29,286,0.10104529616724739,315
newly,10,98,0.10101010101010101,108
card,23,227,0.10087719298245613,250
conditions,37,366,0.1008174386920981,403
weeks,16,158,0.10062893081761007,174
coordinator,51,507,0.10039370078740158,558
manner,75,748,0.10013351134846461,823
trainees,3,29,0.1,32
translates,4,39,0.1,43
judgment,12,119,0.1,131
chart,3,29,0.1,32
again,6,59,0.1,65
assemblies,5,49,0.1,54
bills,8,79,0.1,87
advise,11,109,0.1,120
forms,20,199,0.1,219
however,24,239,0.1,263
utilizing,25,250,0.099601593625498,275
yes,20,200,0.09950248756218906,220
checks,13,130,0.09923664122137404,143
weekly,85,856,0.09918319719953325,941
checking,11,110,0.0990990990990991,121
excel,53,534,0.09906542056074766,587
project,477,4827,0.0987986743993372,5304
within,323,3272,0.09868622059272839,3595
individuals,101,1023,0.0986328125,1124
flat,7,70,0.09859154929577464,77
global,165,1673,0.0985663082437276,1838
bring,80,811,0.09852216748768473,891
systems,306,3105,0.09851899549259498,3411
india,13,131,0.09848484848484848,144
suite,37,375,0.09840425531914894,412
consultation,6,60,0.09836065573770492,66
cut,6,60,0.09836065573770492,66
accurate,78,794,0.09811320754716982,872
exposed,5,50,0.09803921568627451,55
avoid,5,50,0.09803921568627451,55
option,5,50,0.09803921568627451,55
dollars,5,50,0.09803921568627451,55
area,117,1193,0.09798994974874371,1310
evaluates,9,91,0.09782608695652174,100
continual,9,91,0.09782608695652174,100
boarding,13,132,0.09774436090225563,145
maintains,51,521,0.09770114942528736,572
regions,8,81,0.0975609756097561,89
fri,4,40,0.0975609756097561,44
indicate,4,40,0.0975609756097561,44
weight,7,71,0.09722222222222222,78
incidents,7,71,0.09722222222222222,78
standard,51,525,0.09695817490494296,576
calculate,3,30,0.0967741935483871,33
commissioning,6,61,0.0967741935483871,67
steps,12,123,0.0967741935483871,135
ride,3,30,0.0967741935483871,33
compile,6,61,0.0967741935483871,67
determination,3,30,0.0967741935483871,33
comparing,3,30,0.0967741935483871,33
reliability,24,247,0.0967741935483871,271
answers,8,82,0.0963855421686747,90
budget,57,591,0.09628378378378379,648
false,15,155,0.09615384615384616,170
tackle,5,51,0.09615384615384616,56
operated,5,51,0.09615384615384616,56
designed,27,280,0.09608540925266904,307
establishing,22,228,0.09606986899563319,250
holiday,12,124,0.096,136
demonstrates,14,145,0.0958904109589041,159
times,58,604,0.09586776859504133,662
information,278,2915,0.0953360768175583,3193
choices,4,41,0.09523809523809523,45
forums,4,41,0.09523809523809523,45
modification,6,62,0.09523809523809523,68
trouble,8,83,0.09523809523809523,91
line,86,904,0.09502762430939227,990
profitability,19,199,0.095,218
received,15,157,0.0949367088607595,172
reviews,45,473,0.0949367088607595,518
summary,29,305,0.09477124183006536,334
active,53,559,0.09464285714285714,612
served,7,73,0.0945945945945946,80
name,35,369,0.0945945945945946,404
independently,55,581,0.09450171821305842,636
reconciliation,10,105,0.09433962264150944,115
recurring,5,52,0.09433962264150944,57
participants,5,52,0.09433962264150944,57
week,114,1210,0.09413707679603633,1324
statement,8,84,0.09411764705882353,92
trained,11,116,0.09401709401709402,127
orientation,11,116,0.09401709401709402,127
learned,3,31,0.09375,34
issuing,3,31,0.09375,34
practitioners,3,31,0.09375,34
depending,19,202,0.09359605911330049,221
medium,23,245,0.09349593495934959,268
submitted,10,106,0.09345794392523364,116
cover,40,427,0.09345794392523364,467
inquiries,30,320,0.09345794392523364,350
silicon,7,74,0.09333333333333334,81
orderly,4,42,0.09302325581395349,46
inputting,8,85,0.09302325581395349,93
ltd,4,42,0.09302325581395349,46
purchases,4,42,0.09302325581395349,46
mon,4,42,0.09302325581395349,46
exciting,112,1206,0.0927920463960232,1318
general,114,1229,0.09268292682926829,1343
applied,5,53,0.09259259259259259,58
eager,17,183,0.09239130434782608,200
short,30,324,0.09230769230769231,354
specified,13,140,0.09219858156028368,153
simply,10,108,0.09174311926605505,118
tstyle,10,108,0.09174311926605505,118
proper,44,479,0.09166666666666666,523
available,147,1603,0.09164588528678304,1750
determining,12,130,0.0916030534351145,142
pace,12,130,0.0916030534351145,142
visitors,15,163,0.09146341463414634,178
january,5,54,0.09090909090909091,59
acquired,4,43,0.09090909090909091,47
occasionally,8,87,0.09090909090909091,95
enter,14,153,0.09090909090909091,167
mandatory,5,54,0.09090909090909091,59
clarity,3,32,0.09090909090909091,35
gathers,4,43,0.09090909090909091,47
station,6,65,0.09090909090909091,71
carolina,3,32,0.09090909090909091,35
doubled,3,32,0.09090909090909091,35
boost,4,43,0.09090909090909091,47
evaluation,21,230,0.09090909090909091,251
msp,3,32,0.09090909090909091,35
implemented,12,131,0.09090909090909091,143
colband,5,54,0.09090909090909091,59
noshow,5,54,0.09090909090909091,59
